season,Teamname,Team_Abbrv,Points
2016,Seattle Sounders FC,SEA,48
2016,Sporting Kansas City,SKC,47
2016,D.C. United,DC,46
2016,Real Salt Lake,RSL,46
2016,Montreal Impact,MTL,45
2016,Portland Timbers,POR,44
2016,Philadelphia Union,PHI,42
2016,New England Revolution,NE,42
2016,Orlando City SC,ORL,41
2016,Vancouver Whitecaps FC,VAN,39
2016,San Jose Earthquakes,SJ,38
2016,Columbus Crew SC,CLB,36
2016,Houston Dynamo,HOU,34
2016,Chicago Fire,CHI,31
2017,Toronto FC,TOR,69
2017,New York City FC,NYC,57
2017,Chicago Fire,CHI,55
2017,Atlanta United FC,ATL,55
2017,Columbus Crew SC,CLB,54
2017,Portland Timbers,POR,53
2017,Seattle Sounders FC,SEA,53
2017,Vancouver Whitecaps FC,VAN,52
2017,New York Red Bulls,RBNY,50
2017,Houston Dynamo,HOU,50
2017,Sporting Kansas City,SKC,49
2017,San Jose Earthquakes,SJ,46
2017,FC Dallas,DAL,46
2017,Real Salt Lake,RSL,45
2017,New England Revolution,NE,45
2017,Philadelphia Union,PHI,42
2017,Montreal Impact,MTL,39
2017,Orlando City SC,ORL,39
2017,Minnesota United FC,MIN,36
2017,Colorado Rapids,COL,33
2017,D.C. United,DC,32
2017,LA Galaxy,LA,32
